590	BCHE	BCHE|Butyrylcholinesterase|CHE1|CHE2|BCHED
3992	FADS1	FADS1|fatty acid desaturase 1|FADS6|LLCDL1|TU12|FADSD5|D5D
1012	CDH13	CDH13|Cadherin 13|P105|CDHH
79068	FTO	FTO|Fat mass and obesity associated|BMIQ14|GDFD|ALKBH9
1071	CETP	CETP|Cholesteryl ester transfer protein, plasma|BPIF|HDLCQ10|BPIFF
3990	LIPC	LIPC|Lipase, hepatic|HTGL|LIPH|HDLCQ12
84515	MCM8	MCM8|Minichromosome maintenance complex component 8|C20ORF154|POF10|DJ967N21.5
338	APOB	APOB|Apolipoprotein B|apoB-48|FLDB|apoB-100|LDLCQ4
284417	TMEM150B	TMEM150B|Transmembrane protein 150B|TMEM224|DRAM3|TTN2
348	APOE	APOE|Apolipoprotein E|LDLCQ5|APO-E|AD2|ApoE4|LPG
14934	SIRT6	SIRT6|Sirtuin 6|NAD-Dependent Protein Deacetylase Sirtuin-6|Regulatory Protein SIR2 Homolog 6|SIR2-Like Protein 6|SIR2L6